,date,id,argent_retire
0,2022-11-30 00:06:00,16,1430
1,2022-11-30 00:06:00,35,1220
2,2022-11-30 00:07:00,38,460
3,2022-11-30 00:11:00,11,540
4,2022-11-30 00:11:00,18,490
5,2022-11-30 00:11:00,23,250
6,2022-11-30 00:11:00,29,430
7,2022-11-30 00:13:00,46,1920
8,2022-11-30 00:16:00,2,620
9,2022-11-30 00:16:00,32,1270
10,2022-11-30 00:20:00,12,1360
11,2022-11-30 00:21:00,10,1790
12,2022-11-30 00:21:00,34,1290
13,2022-11-30 00:21:00,48,1830
14,2022-11-30 00:22:00,35,230
15,2022-11-30 00:23:00,27,1470
16,2022-11-30 00:24:00,4,40
17,2022-11-30 00:24:00,22,1060
18,2022-11-30 00:26:00,1,1330
19,2022-11-30 00:26:00,41,1030
20,2022-11-30 00:26:00,42,1660
21,2022-11-30 00:27:00,6,1100
22,2022-11-30 00:27:00,39,1150
23,2022-11-30 00:28:00,11,330
24,2022-11-30 00:29:00,18,780
25,2022-11-30 00:29:00,25,1860
26,2022-11-30 00:29:00,30,710
27,2022-11-30 00:30:00,13,490
28,2022-11-30 00:30:00,23,1990
29,2022-11-30 00:31:00,7,130
30,2022-11-30 00:31:00,15,600
31,2022-11-30 00:32:00,43,1790
32,2022-11-30 00:33:00,1,350
33,2022-11-30 00:33:00,8,640
34,2022-11-30 00:34:00,24,100
35,2022-11-30 00:34:00,37,1730
36,2022-11-30 00:35:00,2,1910
37,2022-11-30 00:35:00,5,1130
38,2022-11-30 00:35:00,29,1340
39,2022-11-30 00:36:00,20,660
40,2022-11-30 00:36:00,28,560
41,2022-11-30 00:37:00,17,1630
42,2022-11-30 00:37:00,43,430
43,2022-11-30 00:38:00,36,60
44,2022-11-30 00:38:00,46,1410
45,2022-11-30 00:39:00,31,1780
46,2022-11-30 00:40:00,18,300
47,2022-11-30 00:40:00,38,1350
48,2022-11-30 00:41:00,33,1940
49,2022-11-30 00:41:00,45,1910
50,2022-11-30 00:42:00,0,690
51,2022-11-30 00:42:00,9,430
52,2022-11-30 00:43:00,19,1700
53,2022-11-30 00:43:00,26,1230
54,2022-11-30 00:44:00,47,160
55,2022-11-30 00:44:00,49,1150
56,2022-11-30 00:45:00,6,840
57,2022-11-30 00:45:00,25,220
58,2022-11-30 00:46:00,44,1150
59,2022-11-30 00:47:00,14,890
60,2022-11-30 00:48:00,40,1840
61,2022-11-30 00:48:00,46,1480
62,2022-11-30 00:49:00,3,1220
63,2022-11-30 00:49:00,20,150
64,2022-11-30 00:49:00,21,240
65,2022-11-30 00:49:00,32,1130
66,2022-11-30 00:50:00,28,1890
67,2022-11-30 00:51:00,13,1350
68,2022-11-30 00:51:00,17,1930
69,2022-11-30 00:52:00,0,1210
70,2022-11-30 00:52:00,23,1580
71,2022-11-30 00:53:00,8,510
72,2022-11-30 00:53:00,19,470
73,2022-11-30 00:54:00,16,780
74,2022-11-30 00:54:00,29,120
75,2022-11-30 00:54:00,40,1040
76,2022-11-30 00:55:00,5,1910
77,2022-11-30 00:55:00,10,1620
78,2022-11-30 00:57:00,0,1840
79,2022-11-30 00:58:00,12,340
80,2022-11-30 00:58:00,20,150
81,2022-11-30 01:00:00,9,170
82,2022-11-30 01:00:00,17,60
83,2022-11-30 01:00:00,42,370
84,2022-11-30 01:00:00,48,1870
85,2022-11-30 01:00:00,49,1550
