day,id,argent_retire
2022-12-10,0,20
2022-12-02,1,20
2022-12-02,2,20
2022-12-06,3,20
2022-12-04,4,20
2022-11-30,5,20
2022-12-01,6,20
2022-12-05,7,20
2022-12-03,8,20
2022-12-02,9,20
2022-12-01,10,20
2022-12-03,11,20
2022-12-06,12,20
2022-11-30,13,20
2022-12-05,14,20
2022-12-01,15,20
2022-12-01,16,20
2022-12-05,17,20
2022-11-30,18,20
2022-12-02,19,20
2022-12-02,20,20
2022-12-05,21,20
2022-11-30,22,20
2022-12-03,23,20
2022-12-01,24,20
2022-11-30,25,20
2022-12-02,26,20
2022-12-05,27,20
2022-12-03,28,20
2022-12-01,29,20
2022-12-09,30,20
2022-12-01,31,20
2022-12-02,32,20
2022-12-02,33,20
2022-12-05,34,20
2022-12-02,35,20
2022-12-10,36,20
2022-12-03,37,20
2022-12-01,38,20
2022-12-07,39,20
2022-11-30,40,20
2022-12-06,41,20
2022-11-30,42,20
2022-11-30,43,20
2022-12-01,44,20
2022-12-10,45,20
2022-12-01,46,20
2022-11-30,47,20
2022-12-03,48,20
2022-11-30,49,20
