day,id,argent_retire
2022-12-02,0,1990
2022-12-03,1,1980
2022-12-08,2,1990
2022-12-14,3,1990
2022-12-06,4,1990
2022-12-06,5,1990
2022-12-01,6,1990
2022-12-02,7,1990
2022-11-30,8,1990
2022-11-30,9,1990
2022-12-06,10,1990
2022-12-01,11,1990
2022-11-30,12,1990
2022-12-01,13,1990
2022-12-01,14,1990
2022-12-08,15,1990
2022-11-30,16,1990
2022-12-07,17,1990
2022-12-06,18,1990
2022-12-01,19,1990
2022-12-05,20,1990
2022-11-30,21,1990
2022-12-08,22,1980
2022-11-30,23,1990
2022-12-02,24,1990
2022-12-05,25,1990
2022-12-02,26,1990
2022-12-05,27,1990
2022-12-01,28,1990
2022-11-30,29,1990
2022-11-30,30,1990
2022-12-04,31,1990
2022-12-01,32,1990
2022-12-01,33,1990
2022-12-01,34,1990
2022-12-07,35,1990
2022-12-01,36,1990
2022-12-03,37,1990
2022-12-02,38,1990
2022-12-10,39,1990
2022-12-09,40,1990
2022-12-02,41,1990
2022-11-30,42,1990
2022-11-30,43,1990
2022-12-02,44,1990
2022-12-02,45,1990
2022-11-30,46,1990
2022-12-07,47,1990
2022-11-30,48,1990
2022-11-30,49,1990
