day,id,argent_retire
2022-12-04,0,1990
2022-12-02,1,1990
2022-12-05,2,1990
2022-12-10,3,1990
2022-12-08,4,1990
2022-12-06,5,1990
2022-11-30,6,1990
2022-11-30,7,1980
2022-12-05,8,1990
2022-12-03,9,1990
2022-11-30,10,1990
2022-12-02,11,1990
2022-12-01,12,1990
2022-12-04,13,1990
2022-11-30,14,1990
2022-12-01,15,1990
2022-12-09,16,1990
2022-12-11,17,1990
2022-12-03,18,1990
2022-12-02,19,1990
2022-12-02,20,1990
2022-12-01,21,1990
2022-12-02,22,1990
2022-12-01,23,1990
2022-12-01,24,1990
2022-12-05,25,1990
2022-12-01,26,1990
2022-11-30,27,1990
2022-12-06,28,1990
2022-12-03,29,1990
2022-12-05,30,1990
2022-12-09,31,1990
2022-12-06,32,1990
2022-12-05,33,1990
2022-12-01,34,1990
2022-11-30,35,1990
2022-12-05,36,1990
2022-12-01,37,1990
2022-12-03,38,1990
2022-12-04,39,1990
2022-12-01,40,1990
2022-11-30,41,1990
2022-12-06,42,1990
2022-12-04,43,1990
2022-12-01,44,1990
2022-12-03,45,1990
2022-12-01,46,1990
2022-12-04,47,1990
2022-12-01,48,1990
2022-12-01,49,1990
