hour,id,sum(argent_retire)
7,0,24780
20,1,24390
1,2,26800
17,3,24790
2,4,25490
19,5,29360
19,6,24440
22,7,24770
8,8,25310
8,9,23890
22,10,26330
5,11,27370
23,12,25400
2,13,22850
14,14,26100
18,15,24080
2,16,23310
13,17,27130
15,18,18780
19,19,27650
11,20,23320
16,21,24060
22,22,25810
18,23,20110
0,24,23940
9,25,26790
20,26,23040
12,27,27570
19,28,21640
19,29,27540
13,30,27000
19,31,24410
5,32,25980
12,33,21520
14,34,25850
20,35,22110
16,36,22650
21,37,25860
11,38,23570
8,39,27320
5,40,22320
9,41,20010
19,42,26410
21,43,27190
7,44,26170
3,45,24280
15,46,25180
7,47,24490
7,48,25710
3,49,23730
