hour,id,sum(argent_retire)
5,0,25400
5,1,25020
21,2,25480
20,3,24030
19,4,21900
11,5,26820
18,6,24000
18,7,25610
17,8,27350
14,9,22260
9,10,22960
11,11,24570
21,12,22160
14,13,26060
19,14,25470
20,15,24570
20,16,21400
5,17,25120
7,18,25130
17,19,24540
15,20,24940
3,21,25920
23,22,24080
1,23,24470
13,24,24830
11,25,25670
8,26,23640
16,27,26440
19,28,25040
2,29,26850
6,30,23580
16,31,24350
23,32,26640
5,33,20360
17,34,22290
2,35,26220
18,36,24660
14,37,22890
9,38,25980
12,39,26050
12,40,21910
13,41,26610
3,42,23260
18,43,26050
21,44,27250
7,45,22980
8,46,26490
17,47,21100
3,48,23800
6,49,27170
