hour,id,sum(argent_retire)
22,0,43540
13,1,44760
23,2,44280
20,3,45590
18,4,42340
5,5,43840
18,6,44280
1,7,41470
10,8,43620
21,9,43850
20,10,38000
12,11,43360
2,12,42580
7,13,40660
17,14,42430
2,15,42300
16,16,40860
6,17,41390
6,18,38770
17,19,47090
19,20,48550
17,21,41910
1,22,45790
4,23,41810
12,24,42220
8,25,42310
6,26,44120
2,27,43740
8,28,45360
0,29,41050
5,30,39500
15,31,40920
2,32,40470
21,33,40470
5,34,45570
1,35,39880
12,36,42380
12,37,45010
5,38,45030
17,39,45200
11,40,43360
1,41,45980
6,42,43980
3,43,42340
1,44,39520
4,45,45780
0,46,44310
11,47,43530
20,48,43290
8,49,42500
