day,id,sum(argent_retire)
2022-12-15,0,1680
2022-12-15,1,2230
2022-12-15,2,2110
2022-12-15,3,3540
2022-12-15,4,3600
2022-12-15,5,1760
2022-12-15,6,1770
2022-12-15,7,3170
2022-12-15,8,4120
2022-12-15,9,2830
2022-12-15,10,5490
2022-12-15,11,3100
2022-12-15,12,7300
2022-12-15,13,1610
2022-12-15,14,5320
2022-12-15,15,3180
2022-12-15,16,4240
2022-12-15,17,4140
2022-12-15,18,2570
2022-12-15,19,4600
2022-12-15,20,3620
2022-12-15,21,780
2022-12-15,22,3620
2022-12-15,23,1960
2022-12-15,24,2800
2022-12-15,25,4470
2022-12-15,26,4070
2022-12-15,27,2360
2022-12-15,28,2170
2022-12-15,29,2510
2022-12-15,30,3340
2022-12-15,31,2840
2022-12-15,32,4570
2022-12-15,33,1630
2022-12-15,34,3380
2022-12-15,35,3900
2022-12-15,36,4180
2022-12-15,37,2710
2022-12-15,38,3080
2022-12-15,39,2010
2022-12-15,40,1740
2022-12-15,41,3920
2022-12-15,42,4890
2022-12-15,43,1500
2022-12-15,44,4340
2022-12-15,45,2770
2022-12-15,46,2970
2022-12-15,47,3190
2022-12-15,48,1490
2022-12-15,49,3760
