day,id,sum(argent_retire)
2022-11-30,0,43300
2022-12-12,1,38910
2022-12-10,2,44000
2022-12-09,3,41380
2022-12-13,4,46900
2022-12-02,5,44050
2022-12-11,6,46740
2022-12-04,7,45490
2022-12-10,8,41760
2022-12-07,9,45970
2022-12-10,10,48030
2022-12-02,11,44950
2022-12-03,12,47390
2022-12-11,13,48010
2022-12-04,14,47980
2022-12-07,15,43350
2022-12-01,16,44480
2022-12-12,17,43880
2022-12-03,18,47040
2022-12-05,19,47410
2022-12-14,20,42900
2022-12-10,21,45380
2022-12-06,22,35640
2022-12-11,23,44380
2022-12-07,24,46780
2022-12-10,25,44950
2022-11-30,26,49310
2022-12-07,27,44090
2022-12-13,28,47030
2022-12-14,29,43710
2022-12-12,30,39350
2022-12-11,31,45550
2022-12-14,32,42980
2022-12-13,33,43240
2022-12-13,34,47200
2022-12-14,35,44330
2022-11-30,36,46070
2022-12-01,37,42130
2022-12-05,38,47990
2022-12-04,39,45450
2022-12-06,40,48200
2022-12-12,41,45320
2022-12-12,42,44650
2022-12-12,43,46800
2022-12-05,44,46430
2022-12-02,45,44740
2022-12-13,46,40560
2022-12-12,47,41950
2022-12-11,48,41080
2022-11-30,49,43630
