day,id,sum(argent_retire)
2022-12-07,0,67130
2022-11-30,1,64800
2022-12-01,2,63160
2022-12-05,3,61730
2022-12-03,4,66790
2022-12-08,5,59910
2022-12-14,6,60600
2022-12-14,7,60710
2022-12-08,8,59080
2022-12-12,9,58220
2022-12-08,10,64950
2022-12-03,11,66140
2022-12-13,12,61800
2022-11-30,13,59850
2022-12-12,14,59550
2022-11-30,15,74800
2022-12-09,16,62340
2022-12-11,17,66310
2022-12-06,18,64020
2022-12-10,19,65800
2022-12-13,20,66800
2022-12-09,21,63250
2022-11-30,22,60780
2022-12-12,23,61190
2022-11-30,24,56970
2022-12-12,25,60380
2022-12-10,26,62510
2022-11-30,27,66460
2022-12-09,28,64770
2022-12-09,29,65850
2022-12-06,30,66760
2022-12-03,31,65900
2022-12-05,32,65000
2022-12-04,33,60980
2022-12-12,34,59450
2022-12-03,35,62670
2022-12-11,36,62550
2022-12-08,37,60540
2022-12-14,38,58190
2022-12-13,39,64620
2022-12-08,40,61170
2022-12-06,41,69560
2022-11-30,42,61950
2022-12-04,43,65450
2022-12-03,44,63870
2022-12-07,45,60990
2022-12-07,46,61350
2022-12-05,47,64500
2022-12-13,48,61760
2022-12-03,49,59040
